Education Level,Specialization,Skills,Certifications,CGPA/Percentage,Recommended Career,combined_text
Master's,Finance,Financial Analysis,Google Data Analytics,69,Business Analyst,Master's Finance Financial Analysis Google Data Analytics
Intermediate,Science,"SQL, Python, MS Office",CFA Level 1,93,Business Analyst,"Intermediate Science SQL, Python, MS Office CFA Level 1"
Intermediate,Finance,Python,AWS Certified,63,Software Engineer,Intermediate Finance Python AWS Certified
Bachelor's,Science,"Accounting, Machine Learning",,87,Software Engineer,
Bachelor's,Science,Accounting,Creative Writing,81,Business Analyst,Bachelor's Science Accounting Creative Writing
Intermediate,Engineering,"Marketing, Data Analysis",Creative Writing,76,Software Engineer,"Intermediate Engineering Marketing, Data Analysis Creative Writing"
Master's,Science,"Marketing, Accounting, MS Office",AWS Certified,66,ML Engineer,"Master's Science Marketing, Accounting, MS Office AWS Certified"
PhD,Commerce,"Accounting, Python, Communication",AWS Certified,61,Software Engineer,"PhD Commerce Accounting, Python, Communication AWS Certified"
Intermediate,Science,"MS Office, Counseling",Mental Health Basics,80,Research Scientist,"Intermediate Science MS Office, Counseling Mental Health Basics"
Matric,Arts,"Data Analysis, Communication",Google Data Analytics,91,ML Engineer,"Matric Arts Data Analysis, Communication Google Data Analytics"
Intermediate,Arts,Accounting,Tally ERP,82,Research Scientist,Intermediate Arts Accounting Tally ERP
Intermediate,Computer Science,"Communication, Data Analysis, Accounting",Google Data Analytics,64,ML Engineer,"Intermediate Computer Science Communication, Data Analysis, Accounting Google Data Analytics"
PhD,Computer Science,Machine Learning,CFA Level 1,70,ML Engineer,PhD Computer Science Machine Learning CFA Level 1
Intermediate,Commerce,"Data Analysis, Communication, SQL",CFA Level 1,68,Software Engineer,"Intermediate Commerce Data Analysis, Communication, SQL CFA Level 1"
Matric,Science,"MS Office, Python",Creative Writing,92,Business Analyst,"Matric Science MS Office, Python Creative Writing"
Master's,Computer Science,"Counseling, Financial Analysis, Machine Learning",CFA Level 1,78,Business Analyst,"Master's Computer Science Counseling, Financial Analysis, Machine Learning CFA Level 1"
PhD,Engineering,MS Office,AWS Certified,76,ML Engineer,PhD Engineering MS Office AWS Certified
Intermediate,Psychology,MS Office,,90,ML Engineer,
Master's,Finance,"Financial Analysis, Machine Learning",AWS Certified,73,Business Analyst,"Master's Finance Financial Analysis, Machine Learning AWS Certified"
Matric,Arts,"Accounting, Data Analysis, Counseling",Google Data Analytics,92,Software Engineer,"Matric Arts Accounting, Data Analysis, Counseling Google Data Analytics"
PhD,Finance,"Python, MS Office, SQL",Digital Marketing,66,ML Engineer,"PhD Finance Python, MS Office, SQL Digital Marketing"
Intermediate,Finance,"SQL, Data Analysis, Communication",CFA Level 1,60,Research Scientist,"Intermediate Finance SQL, Data Analysis, Communication CFA Level 1"
Master's,Psychology,"Counseling, SQL, Machine Learning",Mental Health Basics,80,Research Scientist,"Master's Psychology Counseling, SQL, Machine Learning Mental Health Basics"
Matric,Computer Science,"Accounting, Marketing",Mental Health Basics,64,Research Scientist,"Matric Computer Science Accounting, Marketing Mental Health Basics"
Master's,Arts,Python,AWS Certified,91,Software Engineer,Master's Arts Python AWS Certified
PhD,Business,"Accounting, Marketing, Data Analysis",AWS Certified,83,ML Engineer,"PhD Business Accounting, Marketing, Data Analysis AWS Certified"
Bachelor's,Computer Science,"Python, SQL, Communication",Mental Health Basics,93,Research Scientist,"Bachelor's Computer Science Python, SQL, Communication Mental Health Basics"
Master's,Engineering,Marketing,Creative Writing,95,Software Engineer,Master's Engineering Marketing Creative Writing
Bachelor's,Science,MS Office,Tally ERP,86,Business Analyst,Bachelor's Science MS Office Tally ERP
PhD,Science,MS Office,Mental Health Basics,69,Business Analyst,PhD Science MS Office Mental Health Basics
Matric,Arts,"SQL, Counseling, Marketing",Tally ERP,94,Business Analyst,"Matric Arts SQL, Counseling, Marketing Tally ERP"
Intermediate,Finance,MS Office,,77,ML Engineer,
PhD,Computer Science,"MS Office, Python",Google Data Analytics,87,ML Engineer,"PhD Computer Science MS Office, Python Google Data Analytics"
PhD,Psychology,"Financial Analysis, Python, Counseling",Mental Health Basics,78,Business Analyst,"PhD Psychology Financial Analysis, Python, Counseling Mental Health Basics"
Bachelor's,Business,"Communication, Python, Financial Analysis",Digital Marketing,77,Software Engineer,"Bachelor's Business Communication, Python, Financial Analysis Digital Marketing"
Master's,Business,"Data Analysis, Accounting, SQL",AWS Certified,91,ML Engineer,"Master's Business Data Analysis, Accounting, SQL AWS Certified"
Master's,Engineering,"Accounting, SQL",Tally ERP,66,ML Engineer,"Master's Engineering Accounting, SQL Tally ERP"
Matric,Finance,"Financial Analysis, SQL",Tally ERP,77,Software Engineer,"Matric Finance Financial Analysis, SQL Tally ERP"
PhD,Computer Science,Financial Analysis,Mental Health Basics,66,Research Scientist,PhD Computer Science Financial Analysis Mental Health Basics
Bachelor's,Finance,SQL,Mental Health Basics,82,ML Engineer,Bachelor's Finance SQL Mental Health Basics
Master's,Business,"Accounting, Financial Analysis",Google Data Analytics,70,ML Engineer,"Master's Business Accounting, Financial Analysis Google Data Analytics"
Bachelor's,Finance,"Counseling, Communication, Financial Analysis",Tally ERP,84,ML Engineer,"Bachelor's Finance Counseling, Communication, Financial Analysis Tally ERP"
Matric,Engineering,"Python, Communication",,71,ML Engineer,
Intermediate,Psychology,"Marketing, Data Analysis",Digital Marketing,84,Software Engineer,"Intermediate Psychology Marketing, Data Analysis Digital Marketing"
Matric,Science,"Machine Learning, Marketing",Tally ERP,79,ML Engineer,"Matric Science Machine Learning, Marketing Tally ERP"
Master's,Finance,"Communication, Counseling, Financial Analysis",Digital Marketing,61,Business Analyst,"Master's Finance Communication, Counseling, Financial Analysis Digital Marketing"
Bachelor's,Commerce,"Communication, Data Analysis",AWS Certified,91,Research Scientist,"Bachelor's Commerce Communication, Data Analysis AWS Certified"
Matric,Finance,"Accounting, Financial Analysis",Digital Marketing,81,Software Engineer,"Matric Finance Accounting, Financial Analysis Digital Marketing"
Master's,Finance,"SQL, MS Office",Mental Health Basics,95,Software Engineer,"Master's Finance SQL, MS Office Mental Health Basics"
PhD,Science,"Machine Learning, MS Office",Digital Marketing,84,Software Engineer,"PhD Science Machine Learning, MS Office Digital Marketing"
PhD,Engineering,"Machine Learning, MS Office, Data Analysis",,77,Business Analyst,
Master's,Computer Science,SQL,CFA Level 1,91,Business Analyst,Master's Computer Science SQL CFA Level 1
PhD,Finance,Python,Google Data Analytics,75,Business Analyst,PhD Finance Python Google Data Analytics
Matric,Commerce,"Counseling, Machine Learning, Accounting",Mental Health Basics,63,Research Scientist,"Matric Commerce Counseling, Machine Learning, Accounting Mental Health Basics"
Master's,Computer Science,"Data Analysis, Machine Learning, MS Office",Digital Marketing,62,ML Engineer,"Master's Computer Science Data Analysis, Machine Learning, MS Office Digital Marketing"
Bachelor's,Finance,Marketing,Creative Writing,71,Business Analyst,Bachelor's Finance Marketing Creative Writing
Bachelor's,Commerce,Python,CFA Level 1,90,Software Engineer,Bachelor's Commerce Python CFA Level 1
Master's,Psychology,Data Analysis,Creative Writing,90,Software Engineer,Master's Psychology Data Analysis Creative Writing
Bachelor's,Engineering,MS Office,AWS Certified,83,ML Engineer,Bachelor's Engineering MS Office AWS Certified
Bachelor's,Computer Science,"Accounting, Counseling, Machine Learning",,73,Software Engineer,
Bachelor's,Science,Counseling,Creative Writing,71,Software Engineer,Bachelor's Science Counseling Creative Writing
Bachelor's,Business,"Counseling, Python",Google Data Analytics,83,Research Scientist,"Bachelor's Business Counseling, Python Google Data Analytics"
PhD,Computer Science,"Machine Learning, Python",CFA Level 1,62,Software Engineer,"PhD Computer Science Machine Learning, Python CFA Level 1"
Master's,Finance,Communication,Google Data Analytics,67,Software Engineer,Master's Finance Communication Google Data Analytics
Intermediate,Computer Science,"Counseling, Data Analysis",Creative Writing,64,Business Analyst,"Intermediate Computer Science Counseling, Data Analysis Creative Writing"
Bachelor's,Finance,MS Office,Mental Health Basics,89,ML Engineer,Bachelor's Finance MS Office Mental Health Basics
Master's,Engineering,"Financial Analysis, Accounting",Creative Writing,70,Research Scientist,"Master's Engineering Financial Analysis, Accounting Creative Writing"
PhD,Arts,"MS Office, Accounting",AWS Certified,91,ML Engineer,"PhD Arts MS Office, Accounting AWS Certified"
Matric,Finance,"Financial Analysis, Accounting, Communication",Google Data Analytics,75,Research Scientist,"Matric Finance Financial Analysis, Accounting, Communication Google Data Analytics"
Matric,Finance,"Counseling, MS Office",Creative Writing,78,Research Scientist,"Matric Finance Counseling, MS Office Creative Writing"
Bachelor's,Business,"Python, MS Office, Marketing",Creative Writing,77,Software Engineer,"Bachelor's Business Python, MS Office, Marketing Creative Writing"
Bachelor's,Computer Science,"MS Office, Communication, Counseling",Mental Health Basics,71,Research Scientist,"Bachelor's Computer Science MS Office, Communication, Counseling Mental Health Basics"
PhD,Computer Science,Data Analysis,CFA Level 1,74,Business Analyst,PhD Computer Science Data Analysis CFA Level 1
Matric,Psychology,"Communication, SQL",Mental Health Basics,91,ML Engineer,"Matric Psychology Communication, SQL Mental Health Basics"
Matric,Computer Science,"Marketing, Accounting",CFA Level 1,93,Software Engineer,"Matric Computer Science Marketing, Accounting CFA Level 1"
Intermediate,Business,Python,Mental Health Basics,82,Business Analyst,Intermediate Business Python Mental Health Basics
PhD,Computer Science,"Financial Analysis, MS Office, Python",Digital Marketing,80,Research Scientist,"PhD Computer Science Financial Analysis, MS Office, Python Digital Marketing"
Bachelor's,Engineering,"Marketing, Communication",Tally ERP,73,ML Engineer,"Bachelor's Engineering Marketing, Communication Tally ERP"
Master's,Engineering,Data Analysis,Tally ERP,75,Research Scientist,Master's Engineering Data Analysis Tally ERP
Bachelor's,Computer Science,Financial Analysis,AWS Certified,65,Business Analyst,Bachelor's Computer Science Financial Analysis AWS Certified
Master's,Psychology,Financial Analysis,Google Data Analytics,95,Research Scientist,Master's Psychology Financial Analysis Google Data Analytics
Intermediate,Psychology,Communication,Digital Marketing,92,Research Scientist,Intermediate Psychology Communication Digital Marketing
Intermediate,Arts,Python,AWS Certified,75,ML Engineer,Intermediate Arts Python AWS Certified
Master's,Finance,"Data Analysis, Python, Financial Analysis",CFA Level 1,66,Research Scientist,"Master's Finance Data Analysis, Python, Financial Analysis CFA Level 1"
PhD,Computer Science,"Accounting, Counseling",Mental Health Basics,70,Software Engineer,"PhD Computer Science Accounting, Counseling Mental Health Basics"
Intermediate,Commerce,Python,Mental Health Basics,69,ML Engineer,Intermediate Commerce Python Mental Health Basics
Matric,Commerce,"Marketing, Financial Analysis",CFA Level 1,85,Research Scientist,"Matric Commerce Marketing, Financial Analysis CFA Level 1"
Intermediate,Science,"Data Analysis, Python, Communication",Digital Marketing,95,ML Engineer,"Intermediate Science Data Analysis, Python, Communication Digital Marketing"
PhD,Computer Science,SQL,Creative Writing,90,ML Engineer,PhD Computer Science SQL Creative Writing
Bachelor's,Science,"MS Office, SQL, Marketing",AWS Certified,78,Research Scientist,"Bachelor's Science MS Office, SQL, Marketing AWS Certified"
PhD,Science,SQL,Tally ERP,73,Research Scientist,PhD Science SQL Tally ERP
Intermediate,Finance,Accounting,Tally ERP,69,Business Analyst,Intermediate Finance Accounting Tally ERP
Matric,Science,"Machine Learning, SQL, Python",AWS Certified,82,Business Analyst,"Matric Science Machine Learning, SQL, Python AWS Certified"
PhD,Computer Science,"Marketing, Communication",CFA Level 1,73,Software Engineer,"PhD Computer Science Marketing, Communication CFA Level 1"
Master's,Finance,"Data Analysis, Marketing",AWS Certified,77,Business Analyst,"Master's Finance Data Analysis, Marketing AWS Certified"
Master's,Psychology,"Machine Learning, MS Office, Counseling",AWS Certified,84,ML Engineer,"Master's Psychology Machine Learning, MS Office, Counseling AWS Certified"
Bachelor's,Science,"Counseling, MS Office, Data Analysis",CFA Level 1,81,ML Engineer,"Bachelor's Science Counseling, MS Office, Data Analysis CFA Level 1"
Intermediate,Finance,"MS Office, Python, Counseling",Tally ERP,93,Research Scientist,"Intermediate Finance MS Office, Python, Counseling Tally ERP"
Bachelor's,Computer Science,"Communication, Marketing, SQL",,71,Software Engineer,
PhD,Science,Data Analysis,CFA Level 1,88,Software Engineer,PhD Science Data Analysis CFA Level 1
PhD,Finance,"SQL, MS Office, Financial Analysis",Tally ERP,90,Software Engineer,"PhD Finance SQL, MS Office, Financial Analysis Tally ERP"
Bachelor's,Science,"Accounting, SQL",Tally ERP,62,Business Analyst,"Bachelor's Science Accounting, SQL Tally ERP"
Intermediate,Engineering,"Communication, Accounting, Counseling",AWS Certified,68,Software Engineer,"Intermediate Engineering Communication, Accounting, Counseling AWS Certified"
Bachelor's,Commerce,"Communication, Marketing",Tally ERP,65,ML Engineer,"Bachelor's Commerce Communication, Marketing Tally ERP"
